Season,Series Ep Number,Season Ep Number,SeasonEpisode,Title,Directed by,Written by,Original Air Date,US Viewers(MMs),Summary,Category,Is Mulder Here?,Location,Location (commas removed),Latitude,Longitude
3,69,20,Seas3Ep20,"""Jose Chung's From Outer Space""",Rob Bowman,Darin Morgan,"April 12, 1996",16.08,"When a couple claims to have been abducted by aliens, Agents Mulder and Scully try to get at the truth but everyone has a different version of the story, including the ""aliens"" themselves.",Alien,Mulder is here,"Kalaloch, WA",Kalaloch WA,47.604698,-124.371101
3,70,21,Seas3Ep21,"""Avatar""",James Charleston,David Duchovny & Howard Gordan,"April 26, 1996",14.62,"During a difficult time in assistant director Skinner's life, he meets a woman in a bar and spends the night with her. The next morning, the woman is dead and he is accused of murder. Agents Mulder and Scully join the investigation to clear their supervisor's name. As they unravel the threads of a conspiracy, they also learn more about Skinner's personal affairs.",Murder,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
3,71,22,Seas3Ep22,"""Quagmire""",Kim Manners,Kim Newton,"May 3, 1996",16,"When a series of mysterious deaths and disappearances are reported near a lake in a small town, Agents Mulder and Scully are called in to investigate. With local folklore of a killer sea serpent running rampant amongst the locals, the agents must take their search for the truth to the water.",Cryptids,Mulder is here,"Blue Ridge, Georgia",Blue Ridge Georgia,34.865483,-84.325284
3,72,23,Seas3Ep23,"""Wetwired""",Rob Bowman,Mat Beck,"May 10, 1996",14.48,"As the agents investigate a series of homicides committed by ordinary citizens angered after seeing illusory images, Scully's trust in Mulder is put to the ultimate test.",'Monster of the Week'/Other,Mulder is here,"Braddock Heights, Maryland",Braddock Heights Maryland,39.418853,-77.50387
3,73,24,Seas3Ep24,"""Talitha Cumi""",R. W. Goodwin,David Duchovny & Chris Carter,"May 17, 1996",17.86,"Agents Mulder and Scully search for a man who seems to possess strange powers, which leads to the discovery of a dangerous secret from Mulder's past. The secret could bring Mulder and Scully to the brink of exposing the truth about alien existence.",Alien,Mulder is here,Arlington County,Arlington County,38.890763,-77.084755
4,74,1,Seas4Ep1,"""Herrenvolk""",R. W. Goodwin,Chris Carter,"October 4, 1996",21.11,"Pursued by an Alien Bounty Hunter, Jeremiah Smith takes Mulder to a farm where he finds several girls who are clones of his sister.",Alien,Mulder is here,"Hinton, Alberta",Hinton Alberta,53.413619,-117.56369
4,75,2,Seas4Ep2,"""Home""",Kim Manners,Glen Morgan & James Wong,"October 11, 1996",18.85,"In a small, otherwise peaceful town, the agents investigate the death of an infant with disturbing birth defects, and the trail leads to a clan of inbred, genetic mutants.",'Monster of the Week'/Other,Mulder might be here,"Home, Pennsylvania",Home Pennsylvania,40.7426,-79.107395
4,76,3,Seas4Ep3,"""Teliko""",James Charleston,Howard Gordon,"October 18, 1996",18.01,Mulder and Scully are called in to investigate the unexplained deaths of several African and African-American people whose skin color has turned white as the result of either a rare medical disorder or a bizarre curse.,'Monster of the Week'/Other,Mulder is here,"Philadelphia, Pennsylvania",Philadelphia Pennsylvania,39.951061,-75.16562
4,77,4,Seas4Ep4,"""Unruhe""",Rob Bowman,Vince Gilligan,"October 27, 1996",19.1,"Agents Mulder and Scully investigate a group of bizarre kidnappings in which the only clues are inexplicable photographs. But when Scully is the next intended victim, Mulder must get into the killer's head.",Murder,Mulder is here,"Traverse City, Michigan",Traverse City Michigan,44.759092,-85.605469
4,78,5,Seas4Ep5,"""The Field Where I Died""",Rob Bowman,Glen Morgan & James Wong,"November 3, 1996",19.85,FBI Agent Mulder's search for an informant inside a cult compound leads Scully and him to one of the cult leader's wives. What they soon discover is an unexpectedly close connection with the woman.,Cults,Mulder is here,"Apison, Tennessee",Apison Tennessee,35.021624,-85.021498
4,79,6,Seas4Ep6,"""Sanguinarium""",Kim Manners,Valerie Mayhew & Vivian Mayhew,"November 10, 1996",18.85,Bizarre homicides in a hospital's plastic surgery unit lead Mulder and Scully to suspect a supernatural force may be responsible.,'Monster of the Week'/Other,Mulder is here,"Winnetka, Illinois",Winnetka Illinois,42.107106,-87.734719
4,80,7,Seas4Ep7,"""Musings of a Cigarette Smoking Man""",James Wong,Glen Morgan,"November 17, 1996",17.09,"Mulder, Scully and Byers meet with Frohike, where he details what may have been Cigarette Smoking Man's real life.",Secret Government,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
4,81,8,Seas4Ep8,"""Tunguska""",Kim Manners,Frank Spotnitz & Chris Carter,"November 24, 1996",18.85,"A diplomatic courier carrying deadly cargo involves Agents Mulder and Scully in a dangerous web of intrigue, which leads Mulder on a trip to Russia.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
4,82,9,Seas4Ep9,"""Terma""",Rob Bowman,Frank Spotnitz & Chris Carter,"December 1, 1996",17.34,"Scully and Skinner attend a suspicious Senate hearing, while Mulder and Krycek face off in a Russian gulag.",'Monster of the Week'/Other,Mulder is here,"Krasnoyarsk, Krasnoyarsk Krai, Russia",Krasnoyarsk Krasnoyarsk Krai Russia,56.17608,92.50933
4,83,10,Seas4Ep10,"""Paper Hearts""",Rob Bowman,Vince Gilligan,"December 15, 1996",16.59,Agent Mulder is haunted by an old case in which young girls were killed and hearts cut from their nightgowns. Soon Mulder becomes suspicious when the killer taunts him with the idea that one of his victims may have been Samantha.,Murder,Mulder is here,"Manassas, Virginia",Manassas Virginia,38.750771,-77.475089
4,84,11,Seas4Ep11,"""El Mundo Gira""",Tucker Gates,John Shiban,"January 12, 1997",22.37,Deadly rain in a migrant workers camp sends Agent Mulder and Scully on the trail of a mythical beastâ€”El Chupacabra.,Cryptids,Mulder is here,"Fresno, California",Fresno California,36.731654,-119.785856
4,85,12,Seas4Ep12,"""Leonard Betts""",Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,"January 26, 1997",29.15,"The disappearance of a man's body from a hospital morgue leads Mulder and Scully to investigate the strange circumstances surrounding the man's death. However, for Scully it will lead to a horrifying revelation.",'Monster of the Week'/Other,Mulder is here,"Pittsburgh, Pennsylvania",Pittsburgh Pennsylvania,40.442169,-79.994945
4,86,13,Seas4Ep13,"""Never Again""",Rob Bowman,Glen Morgan & James Wong,"February 2, 1997",21.36,"On a solo assignment out of town, Scully meets a man whose tattoo does not want to share himâ€”especially not with Scully.",'Monster of the Week'/Other,Mulder might be here,"Philadelphia, Pennsylvania",Philadelphia Pennsylvania,39.951061,-75.16562
4,87,14,Seas4Ep14,"""Memento Mori""",Rob Bowman,Chris Carter & Vince Gilligan & John Shiban & Frank Spotnitz,"February 9, 1997",19.1,"Fear for Scully's health sends Mulder to investigate the bizarre circumstances that may explain her mysterious abduction two years ago, while Scully takes a more practical course to quell her illness.",Alien,Mulder is here,"Allentown, Pennsylvania",Allentown Pennsylvania,40.602753,-75.469759
4,88,15,Seas4Ep15,"""Kaddish""",Kim Manners,Howard Gordon,"February 16, 1997",16.56,"A homicide in a Jewish community leads to the deaths of the killers, forcing Mulder and Scully to determine whether vengeance or larger forces are at work.",Murder,Mulder is here,"Brooklyn, New York",Brooklyn New York,40.692529,-73.990996
4,89,16,Seas4Ep16,"""Unrequited""",Michael Lange,Howard Gordon,"February 23, 1997",16.56,The mysterious assassination of a high-ranking military official has Mulder and Scully racing against the clock to stop a seemingly unstoppableâ€”and invisibleâ€”assassin.,'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
4,90,17,Seas4Ep17,"""Tempus Fugit""",Rob Bowman,Chris Carter & Frank Spotnitz,"March 16, 1997",18.85,"While celebrating Scully's birthday, Mulder learns of Max Fenig's death in a plane crash. What the agents soon discover is that the circumstances surrounding the crash may have been alien.",Alien,Mulder is here,"Northville, New York",Northville New York,40.969986,-72.618911
4,91,18,Seas4Ep18,"""Max""",Kim Manners,Chris Carter & Frank Spotnitz,"March 23, 1997",18.34,"The investigation continues for agents Mulder and Scully of the apparent downing of Flight 549 by a UFO. They encounter deadly opposition from the military, which continues to cover up the truth of incident.",Alien,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
4,92,19,Seas4Ep19,"""Synchrony""",James Charleston,Howard Gordon & David Greenwalt,"April 13, 1997",18.09,Mulder and Scully investigate a homicide for which the suspect presents an incredible alibi â€” that the death was foretold by an old man able to see into the future.,'Monster of the Week'/Other,Mulder is here,"Cambridge, Massachusetts",Cambridge Massachusetts,42.365248,-71.105015
4,93,20,Seas4Ep20,"""Small Potatoes""",Cliff Bole,Vince Gilligan,"April 20, 1997",20.86,"A small town is ""blessed"" by babies being born with tails. Mulder and Scully arrive only to encounter a suspect who proves nearly impossible to identify.",'Monster of the Week'/Other,Mulder is here,"Martinsburg, West Virginia",Martinsburg West Virginia,39.456216,-77.963914
4,94,21,Seas4Ep21,"""Zero Sum""",Kim Manners,Howard Gordon & Frank Spotnitz,"April 27, 1997",18.6,"Agent Mulder launches a criminal investigation into a bizarre death which he finds has connections to A.D. Skinner. Meanwhile, Skinner makes his own deal with the devil in a desperate attempt to save Scully from the cancer that is taking over her body.",'Monster of the Week'/Other,Mulder is here,"Vienna, Virginia",Vienna Virginia,38.903484,-77.262818
4,95,22,Seas4Ep22,"""Elegy""",James Charleston,John Shiban,"May 4, 1997",17.1,"Mulder and Scully track a series of homicides that lead to a home for the mentally ill and a clue that makes no sense: each victim had a purported warning from the dead. However, while Mulder makes some surprising discoveries, Scully is reminded of her own mortality.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
4,96,23,Seas4Ep23,"""Demons""",Kim Manners,R. W. Goodwin,"May 11, 1997",19.1,Scully is concerned for Mulder's well-being when he suffers from a memory loss while investigating a case â€” and is the only suspect in a brutal double homicide.,'Monster of the Week'/Other,Mulder is here,"Providence, Rhode Island",Providence Rhode Island,41.824461,-71.412747
4,97,24,Seas4Ep24,"""Gethsemane""",R. W. Goodwin,Chris Carter,"May 18, 1997",19.85,"Researchers in northern Canada discover what may finally be irrefutable proof of alien existence, but even Mulder is skeptical until sinister agents begin to kill to prevent its revelation, leading to a shocking conclusion.",Alien,Mulder is here,"Saint Elias Mountains, British Columbia, Canada",Saint Elias Mountains British Columbia Canada,48.60441,-123.39686
5,98,1,Seas5Ep1,"""Redux""double-dagger",R. W. Goodwin,Chris Carter,"November 2, 1997",27.34,"Scully helps Mulder fake his death, but comes under intense scrutiny; Skinner is suspected as the traitor inside the FBI; and Mulder breaks into the Department of Defense in a desperate bid to save Scully, but while doing so he finds himself facing the truth about the aliens he has been chasing.",Alien,Mulder is here,"Saint Elias Mountains, British Columbia, Canada",Saint Elias Mountains British Columbia Canada,48.60441,-123.39686
5,99,2,Seas5Ep2,"""Redux II""double-dagger",Kim Manners,Chris Carter,"November 9, 1997",24.84,"While Scully lies on her deathbed; Cigarette Smoking Man makes an important decision in helping Mulder. But even as events come to a climax, Mulder finds his belief in his crusade has all but collapsed.",Secret Government,Mulder is here,"Saint Elias Mountains, British Columbia, Canada",Saint Elias Mountains British Columbia Canada,48.60441,-123.39686
5,100,3,Seas5Ep3,"""Unusual Suspects""",Kim Manners,Vince Gilligan,"November 16, 1997",21.72,"The origins of the Lone Gunmen are explored. In 1989, two salesmen and a federal employee join forces when they meet Susanne Modeski, a woman who claims that she is being pursued by her violent ex-boyfriend, an FBI agent named Fox Mulder. We learn how agent Mulder came to meet three friendly and familiar faces.",Secret Government,Mulder is here,"Baltimore, Marlyand",Baltimore Marlyand,39.56106,-76.96838
5,101,4,Seas5Ep4,"""Detour""",Brett Dowler,Frank Spotnitz,"November 23, 1997",22.88,"On the way to an FBI convention in Florida, Mulder and Scully stop to help in the investigation of the mysterious disappearance of three people in the woods, where a pair of invisible humanoids lurk.",Cryptids,Mulder is here,"Apalachicola National Forest, Florida",Apalachicola National Forest Florida,29.95124,-84.97967
5,102,5,Seas5Ep5,"""The Post-Modern Prometheus""",Chris Carter,Chris Carter,"November 30, 1997",18.68,"Filmed in black-and-white, Mulder and Scully investigate a letter from a single mother that leads them to a small town where a modern-day version of Frankenstein's monster lurks, Jerry Springer is an obsession, and Cher plays a significant part.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
5,103,6,Seas5Ep6,"""Christmas Carol""double-dagger",Peter Markle,Vince Gilligan & John Shiban & Frank Spotnitz,"December 7, 1997",20.91,"Home for the holidays, Scully is haunted by dreams which hint at a strange connection to a dead woman's daughter.",'Monster of the Week'/Other,Mulder might be here,"Annapolis, Maryland",Annapolis Maryland,38.97829,-76.495683
5,104,7,Seas5Ep7,"""Emily""double-dagger",Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,"December 14, 1997",20.94,"Scully fights to protect her daughter's life, while Mulder discovers her true origins.",'Monster of the Week'/Other,Mulder is here,"San Diego, California",San Diego California,32.71576,-117.163817
5,105,8,Seas5Ep8,"""Kitsunegari""",Daniel Sackheim,Vince Gilligan & Tim Minear,"January 4, 1998",19.75,"When 'Pusher' Modell escapes from prison, Mulder and Scully race to catch him before he can take revenge against his favorite targetÂ â€“ Agent Mulder.",'Monster of the Week'/Other,Mulder is here,"Occoquan, Virginia",Occoquan Virginia,38.682843,-77.260247
5,106,9,Seas5Ep9,"""Schizogeny""",Ralph Hemecker,Jessica Scott & Mike Wollaeger,"January 11, 1998",21.37,"When a teenager is suspected of murdering his father, Mulder and Scully become convinced that a greater evil may be lurking in the community.",Murder,Mulder is here,"Castleton Township, Michigan",Castleton Township Michigan,42.7481,-86.206902
5,107,10,Seas5Ep10,"""Chinga""",Kim Manners,Stephen King & Chris Carter,"February 8, 1998",21.33,"Scully takes a vacation to Maine, where she encounters a bizarre case where the victims appear to have inflicted wounds upon themselvesÂ â€“ apparently at the behest of a strange young girl.",'Monster of the Week'/Other,Mulder might be here,"Rockland, Maine",Rockland Maine,44.101993,-69.110632
5,108,11,Seas5Ep11,"""Kill Switch""",Rob Bowman,William Gibson & Tom Maddox,"February 15, 1998",18.04,"While investigating the strange circumstances of the death of a reclusive computer genius rumored to have been researching artificial intelligence, Mulder and Scully become targets of an unlikely killer capable of the worst kind of torture.",A.I.,Mulder is here,"Washington, D.C.",Washington D.C.,38.892062,-77.019912
5,109,12,Seas5Ep12,"""Bad Blood""",Cliff Bole,Vince Gilligan,"February 22, 1998",19.25,"While investigating bizarre exsanguinations in Texas, Mulder kills a teenage boy whom he ""mistakes"" for a vampire. Awaiting a meeting with Skinner, Mulder and Scully attempt to get their stories ""straight"" by relating to each other their differing versions of what happened during their investigation.",Murder,Mulder is here,"Forney, TX",Forney TX,32.752075,-96.472348
5,110,13,Seas5Ep13,"""Patient X""double-dagger",Kim Manners,Chris Carter & Frank Spotnitz,"March 1, 1998",20.21,"Scully forms a bond with Cassandra Spender, a woman who claims to have been abducted by aliens. While Mulder's disbelief in the alien conspiracy is now questioned, he finds himself with more personal threats at the FBI.",Alien,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
5,111,14,Seas5Ep14,"""The Red and the Black""double-dagger",Chris Carter,Chris Carter & Frank Spotnitz,"March 8, 1998",19.98,"With Cassandra Spender missing, and her son Jeffrey angrily attempting to push his way up in the FBI, Mulder has Scully put under hypnosis to learn the truth. The Syndicate, meanwhile, quicken their tests for the alien vaccine, sacrificing their own to do so.",Alien,Mulder is here,"North Vancouver, British Columbia, Canada",North Vancouver British Columbia Canada,49.305438,-123.018909
5,112,15,Seas5Ep15,"""Travelers""",William A. Graham,John Shiban & Frank Spotnitz,"March 29, 1998",15.06,"In 1990, a bizarre murder leads young agent Fox Mulder to question a former FBI Agent who investigated one of the first X-Files dating back to the 1950sÂ â€“ a case which may have involved Mulder's father.",Murder,Mulder is here,"Caledonia, Wisconsin",Caledonia Wisconsin,42.814847,-87.914135
5,113,16,Seas5Ep16,"""Mind's Eye""",Kim Manners,Tim Minear,"April 19, 1998",16.53,"Agents Mulder and Scully investigate a murder that seems to have been committed by a blind woman, but Mulder suspects that her involvement is not what it seems.",Murder,Mulder is here,"Wilmington, Delaware",Wilmington Delaware,39.744432,-75.5451
5,114,17,Seas5Ep17,"""All Souls""",Allen Coulter,Story by?: Billy Brown & Dan Angel,"April 26, 1998",13.44,"The unexplained death of a young handicapped girl prompts Father McCue to ask Scully for her help, but her investigation leads her to a mystery she's afraid to understand.",'Monster of the Week'/Other,Mulder might be here,"Alexandria, Virginia",Alexandria Virginia,38.804665,-77.043614
5,115,18,Seas5Ep18,"""The Pine Bluff Variant""",Rob Bowman,John Shiban,"May 3, 1998",18.24,"Scully begins to grow suspicious of Mulder, whose increasingly strange behavior suggests he may be serving another agenda.",'Monster of the Week'/Other,Mulder is here,"Pine Bluff, Arkansas",Pine Bluff Arkansas,34.221586,-92.002005
5,116,19,Seas5Ep19,"""Folie à Deux""",Kim Manners,Vince Gilligan,"May 10, 1998",17.63,Mulder and Scully encounter a delusional man who believes his boss may be a monsterÂ â€“ and is willing to pay any price to prove it.,'Monster of the Week'/Other,Mulder is here,"Kansas City, Missouri",Kansas City Missouri,39.099792,-94.578559
5,117,20,Seas5Ep20,"""The End""double-dagger",R. W. Goodwin,Chris Carter,"May 17, 1998",18.76,"Investigating the murder of a chess player, Mulder and Scully meet a boy who may be the embodiment of everything in the X-Files. This episode marks the first appearance of Diana Fowley.",Murder,Mulder is here,"Vancouver, British Columbia, Canada",Vancouver British Columbia Canada,49.263566,-123.138572
6,118,1,Seas6Ep1,"""The Beginning""",Kim Manners,Chris Carter,"November 8, 1998",20.34,"With the X-Files reopened, Fox Mulder and Dana Scully eagerly hunt for a deadly creature in the Arizona desert. What they find seems to support Mulder's revived belief in aliens, but is discredited when the agents are not reassigned to the X-Files, with Jeffrey Spender and Diana Fowley taking over instead.",Alien,Mulder is here,"Phoenix, Arizona",Phoenix Arizona,33.448204,-112.072585
6,119,2,Seas6Ep2,"""Drive""",Rob Bowman,Vince Gilligan,"November 15, 1998",18.5,"With Mulder trapped in a car by a seemingly deranged man, Scully races to determine if the man is suffering from a deadly illnessâ€”and if Mulder is in danger of becoming the next victim of a government virus.",Secret Government,Mulder is here,"Buhl, Idaho",Buhl Idaho,42.573753,-114.814081
6,120,3,Seas6Ep3,"""Triangle""",Chris Carter,Chris Carter,"November 22, 1998",18.2,"Mulder goes in search of a ship that disappeared in the Bermuda Triangle in 1939. But when he gets on board, Mulder finds that heâ€”and all the passengers and crew (as well as some strangely familiar ones)â€”are still stuck in the past.",'Monster of the Week'/Other,Mulder is here,Bermuda Triangle,Bermuda Triangle,37.35484,-77.39178
6,121,4,Seas6Ep4,"""Dreamland""",Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,"November 29, 1998",17.48,"An anonymous tip finally brings Mulder and Scully to the mecca of all UFO loreâ€”Area 51. As the agents are accosted by suited personnel from the base, they witness the flight of a mysterious craft. In doing so, the lives of two of the men present are profoundlyâ€”and perhaps irrevocablyâ€”altered.",Alien,Mulder is here,"Rachel, Nevada",Rachel Nevada,37.642584,-115.742207
6,122,5,Seas6Ep5,"""Dreamland II""",Michael Watkins,Vince Gilligan & John Shiban & Frank Spotnitz,"December 6, 1998",17.01,"Scully begins to suspect that her partner's strange behavior is more than it appears to be, while Mulder fights to return his life to normal before it's too late.",'Monster of the Week'/Other,Mulder is here,"Rachel, Nevada",Rachel Nevada,37.642584,-115.742207
6,123,6,Seas6Ep6,"""How the Ghosts Stole Christmas""",Chris Carter,Chris Carter,"December 13, 1998",17.31,"On Christmas Eve, Mulder convinces Scully to put aside her gift wrapping and stake out a reputed haunted house. But they discover a pair of lovelorn spectres, Maurice and Lyda, living inside the house who are determined to prove how lonely the holidays can be.",'Monster of the Week'/Other,Mulder is here,"Annapolis, Maryland",Annapolis Maryland,38.97829,-76.495683
6,124,7,Seas6Ep7,"""Terms of Endearment""",Rob Bowman,David Amann,"January 3, 1999",18.69,"When a mother is accused of killing her unborn child, Mulder and Scully discover that the father, Wayne, has his own secrets - and he's not the only one.",Murder,Mulder is here,"Roanoke, Virginia",Roanoke Virginia,37.270496,-79.940581
6,125,8,Seas6Ep8,"""The Rain King""",Kim Manners,Jeffrey Bell,"January 10, 1999",21.24,"In a small town plagued by drought, Mulder and Scully come upon a man who claims to be able to control the weatherâ€”at a hefty profit. Yet the agents discover a force of nature at work even more powerful than the weather, and just as unpredictable.",'Monster of the Week'/Other,Mulder is here,"Sycamore, Kansas",Sycamore Kansas,37.326988,-95.710875
6,126,9,Seas6Ep9,"""S.R. 819""",Daniel Sackheim,John Shiban,"January 17, 1999",15.65,"Assistant Director Walter Skinner is poisoned. Mulder and Scully have 24 hours to save him, but in order to do so, they must determine who wants him dead, and why.",'Monster of the Week'/Other,Mulder is here,"Washington, D.C.",Washington D.C.,38.892062,-77.019912
6,127,10,Seas6Ep10,"""Tithonus""",Michael Watkins,Vince Gilligan,"January 24, 1999",15.83,"Scully learns that she, but not Mulder, is being given a chance to prove her worth at the FBI, andâ€”paired with a new partnerâ€”she investigates a crime scene photographer with an uncanny knack for arriving just in time to see his victims' final moments. What she does not expect is for Death to play a role itself.",'Monster of the Week'/Other,Mulder is here,"New York, New York",New York New York,40.713054,-74.007228
6,128,11,Seas6Ep11,"""Two Fathers""",Kim Manners,Chris Carter & Frank Spotnitz,"February 7, 1999",18.81,"When Cassandra Spender is returned, Mulder, Scully and Agent Spender find themselves facing the exposure of the conspiracy involving extraterrestrials; while the worried Syndicate take drastic evasive measures.",'Monster of the Week'/Other,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
6,129,12,Seas6Ep12,"""One Son""",Rob Bowman,Chris Carter & Frank Spotnitz,"February 14, 1999",16.57,"While Cassandra reveals the truth about the alien conspiracy to Mulder, her ex-husbandâ€”Cigarette Smoking Manâ€”does the same to Agent Spender in an effort to convince him to work with the conspiracy. As events force the Syndicate to expedite its ultimate plans, Mulder and Scully scramble to stop them.",Secret Government,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
6,130,13,Seas6Ep13,"""Agua Mala""",Rob Bowman,David Amann,"February 21, 1999",16.91,"Mulder and Scully are looking forward to cases again. Instead, Arthur Dales, now living in a Florida trailer park, calls the agents for help when a neighboring family disappears; and, with a hurricane approaching, Mulder and Scully find themselves trapped with a group of residents in a building where there is something in the water.",'Monster of the Week'/Other,Mulder is here,"Goodland, Florida",Goodland Florida,25.924964,-81.644125
6,131,14,Seas6Ep14,"""Monday""",Kim Manners,Vince Gilligan & John Shiban,"February 28, 1999",16.74,"The world is trapped in a time loop, and only one woman seems to know. Each day the events that happen differ slightly; ""free will"", as Mulder calls it. A bank robbery is committed over and over again until they can stop the eventual bombing of the place from occurring.",'Monster of the Week'/Other,Mulder is here,"Baltimore, Marlyand",Baltimore Marlyand,39.56106,-76.96838
6,132,15,Seas6Ep15,"""Arcadia""",Michael Watkins,Daniel Arkin,"March 7, 1999",17.91,"Several disappearances at an idyllic planned community lead Mulder and Scully to go undercover as a married couple. However, they soon discover that the president of the homeowners' association takes the community covenants and regulations more seriously than they could have imagined.",'Monster of the Week'/Other,Mulder is here,"San Diego, California",San Diego California,32.71576,-117.163817
6,133,16,Seas6Ep16,"""Alpha""",Peter Markle,Jeffrey Bell,"March 28, 1999",17.67,"An Asian dog, called the Wanshang Dhole, thought to be extinct is blamed for several killings. Mulder and Scully join an obstinate Sheriff, a seemingly eccentric hunter, and a reclusive canine expert to find it. However, there is more mystery to the expert than meets the eye.",Murder,Mulder is here,"Los Angeles, California",Los Angeles California,34.052238,-118.243344
6,134,17,Seas6Ep17,"""Trevor""",Rob Bowman,Jim Guttridge & Ken Hawryliw,"April 11, 1999",17.65,"After a prison camp is destroyed by a tornado, an escaped inmate is suspected of killing the warden. As the inmate hunts down his old girlfriend, he finds out where his child is and attempts to take him back. Mulder and Scully set out to find him and discover that he has the ability to pass through conductive materials.",Murder,Mulder is here,"Stringer, Mississippi",Stringer Mississippi,31.866699,-89.263298
6,135,18,Seas6Ep18,"""Milagro""",Kim Manners,John Shiban & Frank Spotnitz,"April 18, 1999",15.2,"A series of murders takes place where the heart has been removed from the victims. A writer that lives next door to Mulder is writing a novel about the murders before they actually happen. Scully finds herself confused and drawn to the writer, who has a romantic interest in her.",Murder,Mulder is here,"Quantico, Virginia",Quantico Virginia,38.521522,-77.290605
6,136,19,Seas6Ep19,"""The Unnatural""",David Duchovny,David Duchovny,"April 25, 1999",16.88,"While working in Roswell, New Mexico in 1947, a young cop, Arthur Dales (the brother of the Arthur Dales who started the X-Files) stumbles across a black baseball player Josh Exley who is actually an alien with a love of the game hiding among humans.",Alien,Mulder might be here,"Roswell, New Mexico",Roswell New Mexico,33.393142,-104.522734
6,137,20,Seas6Ep20,"""Three of a Kind""",Bryan Spicer,Vince Gilligan & John Shiban,"May 2, 1999",12.94,"While at a conference in Las Vegas, The Lone Gunmen run into the enigmatic Susanne Modeski. After deceiving Scully into joining them, the trio soon find out that Susanne's fiancÃ© is planning to use her new brainwashing drug for political assassinations.",Secret Government,Mulder might be here,"Las Vegas, Nevada",Las Vegas Nevada,36.169202,-115.140597
6,138,21,Seas6Ep21,"""Field Trip""",Kim Manners,Frank Spotnitz,"May 9, 1999",15.38,"The skeletonized remains of a young couple are found in the fields of North Carolina. When Mulder and Scully go to investigate, they find that a giant fungal life form releases an LSD-like drug into the air with spores, and then slowly digests its victims. Mulder and Scully fall into its trap and are not sure of what is reality and what is fantasy.",'Monster of the Week'/Other,Mulder is here,"Boone, North Carolina",Boone North Carolina,36.20401,-81.669431
6,139,22,Seas6Ep22,"""Biogenesis""",Rob Bowman,Chris Carter & Frank Spotnitz,"May 16, 1999",15.86,"Mulder believes that metallic objects discovered in Africa are proof that life originated elsewhere in the universe. Skinner, now in contact with Alex Krycek and Diana Fowley, begins monitoring Mulder and Scully on the case. Mulder, due to the apparent influence of the artifact, falls mentally ill, which leads to Scully traveling to Africa alone.",'Monster of the Week'/Other,Mulder is here,"Abidjan, Ivory Coast",Abidjan Ivory Coast,5.320357,-4.016107
7,140,1,Seas7Ep1,"""The Sixth Extinction""",Kim Manners,Chris Carter,"November 7, 1999",17.82,"Walter Skinner and Michael Kritschgau work desperately to attempt to discover what is wrong with Fox Mulder, who is imprisoned by his own frenetic brain activity, but they are unaware of Agent Diana Fowley's duplicity. In the meanwhile, Dana Scully is hunting for an ancient artifact in Africa.",'Monster of the Week'/Other,Mulder is here,"Abidjan, Ivory Coast",Abidjan Ivory Coast,5.320357,-4.016107
7,141,2,Seas7Ep2,"""The Sixth Extinction II: Amor Fati""",Michael Watkins,David Duchovny & Chris Carter,"November 14, 1999",16.15,"Returning to Washington to find Mulder gone, Scully joins Kritschgau and Skinnerâ€”who is still being forced into betrayal by Alex Krycekâ€”to find her partner. However, the Cigarette Smoking Man has taken Mulder to a place where all his problems are gone and Fowley is forced to make a choice about her loyalties.",Secret Government,Mulder is here,"Abidjan, Ivory Coast",Abidjan Ivory Coast,5.320357,-4.016107
7,142,3,Seas7Ep3,"""Hungry""",Kim Manners,Vince Gilligan,"November 21, 1999",16.17,"In an episode told from the point-of-view of the ""monster"", a fast-food employee with unusual cravings becomes the focus of an FBI investigation. The victims appear with no brain and a suction hole in the forehead.",'Monster of the Week'/Other,Mulder might be here,"Costa Mesa, California",Costa Mesa California,33.663857,-117.904765
7,143,4,Seas7Ep4,"""Millennium""",Thomas J. Wright,Vince Gilligan & Frank Spotnitz,"November 28, 1999",15.09,"An associate of the Millennium Group, which believes the apocalypse will happen on the new year of 2000, resurrects the dead for use in the bringing about of the apocalypse, and Mulder and Scully have to ask the help of criminal profiler Frank Black, a man who has former experience with the shadowy group.",'Monster of the Week'/Other,Mulder is here,"Woodbridge, Virginia",Woodbridge Virginia,38.663462,-77.245654
